job,task,agent,model,fractional_reward,passed,aggregate_score,num_questions,critical_error_count,main_failure_modes
2026-07-02__16-49-09,fda-hard-long-label-retrieval,oracle,,0.920833,1,0.920833,,0,
2026-07-02__16-58-20,fda-hard-long-label-retrieval,oracle,,0.920833,1,0.920833,,0,
2026-07-02__16-58-37,fda-hard-warning-citations,oracle,,0.920833,1,0.920833,,0,
2026-07-02__16-58-54,fda-hard-numeric-dosage,oracle,,1,1,1,,0,
2026-07-02__16-59-11,fda-hard-near-miss-refusal,oracle,,1,1,1,,0,
2026-07-02__16-59-27,fda-hard-multisection-synthesis,oracle,,0.920833,1,0.920833,,0,
2026-07-02__16-59-43,fda-hard-cross-label-comparison,oracle,,1,1,1,,0,
2026-07-02__16-59-59,fda-hard-mixed-batch,oracle,,0.93,1,0.93,,0,
2026-07-02__17-02-31,fda-hard-long-label-retrieval,nop,,0,0,0,,0,
2026-07-02__17-02-48,fda-hard-warning-citations,nop,,0,0,0,,0,
2026-07-02__17-03-03,fda-hard-numeric-dosage,nop,,0,0,0,,0,
2026-07-02__17-03-19,fda-hard-near-miss-refusal,nop,,0,0,0,,0,
2026-07-02__17-03-35,fda-hard-multisection-synthesis,nop,,0,0,0,,0,
2026-07-02__17-03-51,fda-hard-cross-label-comparison,nop,,0,0,0,,0,
2026-07-02__17-04-08,fda-hard-mixed-batch,nop,,0,0,0,,0,
2026-07-02__17-23-15,fda-hard-long-label-retrieval,terminus-2,gemini-3.5-flash,0.622496,0,0.622496,,0,
2026-07-02__17-25-52,fda-hard-warning-citations,terminus-2,gemini-3.5-flash,0.622773,0,0.622773,,0,
2026-07-02__17-40-02,fda-hard-long-label-retrieval,oracle,,1,1,1,8,0,
2026-07-02__17-41-11,fda-hard-long-label-retrieval,nop,,0,0,0,8,1,answer_content;missing_answers_json
