task_name,task_label,job_timestamp,run_id,trial_path,agent,model,reward,pass,explicit_pass,reward_source,started_at,finished_at,num_questions,schema_error_count,critical_errors,failure_categories,trial_number
fda-hard-cross-label-comparison,Cross-label comparison,2026-07-02__18-20-36,BCVwLMZ,jobs/2026-07-02__18-20-36/fda-hard-cross-label-comparison__BCVwLMZ,terminus-2,gemini/gemini-3.5-flash,0.603685,0,0,jobs/2026-07-02__18-20-36/fda-hard-cross-label-comparison__BCVwLMZ/verifier/reward.json,2026-07-02T22:20:37.653341Z,2026-07-02T22:24:59.234584Z,5,0,,near_miss_refusal_or_overrefusal;unknown;unknown;unknown;unknown;near_miss_refusal_or_overrefusal;unknown;unknown;missed_section_or_citation;missed_section_or_citation;unknown;unknown;unknown;unknown;missed_section_or_citation;missed_section_or_citation;unknown;unknown;unknown;unknown;missed_section_or_citation;missed_section_or_citation;unknown;unknown;unknown;unknown;missed_section_or_citation;missed_section_or_citation;unknown;unknown,1
fda-hard-cross-label-comparison,Cross-label comparison,2026-07-02__19-39-12,Bx9w5TV,jobs/2026-07-02__19-39-12/fda-hard-cross-label-comparison__Bx9w5TV,terminus-2,gemini/gemini-3.5-flash,0.573649,0,0,jobs/2026-07-02__19-39-12/fda-hard-cross-label-comparison__Bx9w5TV/verifier/reward.json,2026-07-02T23:39:13.879402Z,2026-07-02T23:43:50.797398Z,5,0,missing_citation_for_factual_claim,missed_section_or_citation;missed_section_or_citation;near_miss_refusal_or_overrefusal;unknown;unknown;missed_section_or_citation;missed_section_or_citation;unknown;unknown;near_miss_refusal_or_overrefusal;unknown;unknown;unknown;unknown;unknown;unknown;missed_section_or_citation;missed_section_or_citation;unknown;unknown;unknown;unknown;missed_section_or_citation;missed_section_or_citation;unknown;unknown;unknown;unknown;missed_section_or_citation;missed_section_or_citation;unknown;unknown,2
fda-hard-cross-label-comparison,Cross-label comparison,2026-07-02__20-12-21,upmmwVs,jobs/2026-07-02__20-12-21/fda-hard-cross-label-comparison__upmmwVs,terminus-2,gemini/gemini-3.5-flash,0.693216,0,0,jobs/2026-07-02__20-12-21/fda-hard-cross-label-comparison__upmmwVs/verifier/reward.json,2026-07-03T00:12:22.298446Z,2026-07-03T00:30:19.443763Z,5,0,,unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;missed_section_or_citation;missed_section_or_citation;unknown;unknown;unknown;unknown;missed_section_or_citation;missed_section_or_citation;unknown;unknown;unknown;unknown;missed_section_or_citation;missed_section_or_citation;unknown;unknown,3
fda-hard-long-label-retrieval,Long label retrieval,2026-07-02__17-23-15,e9Mmvk5,jobs/2026-07-02__17-23-15/fda-hard-long-label-retrieval__e9Mmvk5,terminus-2,gemini/gemini-3.5-flash,0.000000,0,0,jobs/2026-07-02__17-23-15/fda-hard-long-label-retrieval__e9Mmvk5/verifier/reward.json,2026-07-02T21:23:16.718469Z,2026-07-02T21:25:52.035279Z,8,0,,missed_section_or_citation;unknown;unknown;missed_section_or_citation;unknown;unknown;missed_section_or_citation;unknown;unknown;missed_section_or_citation;unknown;unknown;missed_section_or_citation;unknown;unknown;missed_section_or_citation;unknown;unknown;missed_section_or_citation;unknown;numeric_dosage_error;missed_section_or_citation;unknown;numeric_dosage_error,1
fda-hard-long-label-retrieval,Long label retrieval,2026-07-02__17-56-14,FVTUPup,jobs/2026-07-02__17-56-14/fda-hard-long-label-retrieval__FVTUPup,terminus-2,gemini/gemini-3.5-flash,0.771979,0,0,jobs/2026-07-02__17-56-14/fda-hard-long-label-retrieval__FVTUPup/verifier/reward.json,2026-07-02T21:56:15.393847Z,2026-07-02T22:04:15.394026Z,8,0,,unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;missed_section_or_citation;missed_section_or_citation;unknown;unknown;unknown;unknown;numeric_dosage_error;numeric_dosage_error;numeric_dosage_error;unknown;missed_section_or_citation;missed_section_or_citation;unknown;numeric_dosage_error,2
fda-hard-long-label-retrieval,Long label retrieval,2026-07-02__19-19-02,4DjA8ii,jobs/2026-07-02__19-19-02/fda-hard-long-label-retrieval__4DjA8ii,terminus-2,gemini/gemini-3.5-flash,0.741302,0,0,jobs/2026-07-02__19-19-02/fda-hard-long-label-retrieval__4DjA8ii/verifier/reward.json,2026-07-02T23:19:03.467411Z,2026-07-02T23:22:16.966892Z,8,0,,unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;missed_section_or_citation;missed_section_or_citation;unknown;unknown;unknown;unknown;numeric_dosage_error;numeric_dosage_error;unknown;numeric_dosage_error;unknown;unknown;numeric_dosage_error,3
fda-hard-long-label-retrieval,Long label retrieval,2026-07-02__19-50-34,yima5xz,jobs/2026-07-02__19-50-34/fda-hard-long-label-retrieval__yima5xz,terminus-2,gemini/gemini-3.5-flash,0.746250,0,0,jobs/2026-07-02__19-50-34/fda-hard-long-label-retrieval__yima5xz/verifier/reward.json,2026-07-02T23:50:35.394810Z,2026-07-02T23:56:28.178820Z,8,0,,unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;missed_section_or_citation;missed_section_or_citation;unknown;unknown;unknown;unknown;numeric_dosage_error;numeric_dosage_error;unknown;unknown;missed_section_or_citation;missed_section_or_citation;unknown;numeric_dosage_error,4
fda-hard-mixed-batch,Mixed batch,2026-07-02__18-24-59,JiiW8Am,jobs/2026-07-02__18-24-59/fda-hard-mixed-batch__JiiW8Am,terminus-2,gemini/gemini-3.5-flash,0.791333,0,0,jobs/2026-07-02__18-24-59/fda-hard-mixed-batch__JiiW8Am/verifier/reward.json,2026-07-02T22:25:00.729225Z,2026-07-02T22:29:44.608159Z,10,0,,unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;missed_section_or_citation;missed_section_or_citation;missed_section_or_citation;missed_section_or_citation;missed_section_or_citation;missed_section_or_citation;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown,1
fda-hard-mixed-batch,Mixed batch,2026-07-02__19-43-51,9YYwSZw,jobs/2026-07-02__19-43-51/fda-hard-mixed-batch__9YYwSZw,terminus-2,gemini/gemini-3.5-flash,0.791333,0,0,jobs/2026-07-02__19-43-51/fda-hard-mixed-batch__9YYwSZw/verifier/reward.json,2026-07-02T23:43:52.628404Z,2026-07-02T23:47:34.928137Z,10,0,,unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;missed_section_or_citation;missed_section_or_citation;missed_section_or_citation;missed_section_or_citation;missed_section_or_citation;missed_section_or_citation;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown,2
fda-hard-mixed-batch,Mixed batch,2026-07-02__20-30-20,crQahni,jobs/2026-07-02__20-30-20/fda-hard-mixed-batch__crQahni,terminus-2,gemini/gemini-3.5-flash,0.823042,0,0,jobs/2026-07-02__20-30-20/fda-hard-mixed-batch__crQahni/verifier/reward.json,2026-07-03T00:30:21.372109Z,2026-07-03T00:33:42.134486Z,10,0,,unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;missed_section_or_citation;missed_section_or_citation;missed_section_or_citation;missed_section_or_citation;missed_section_or_citation;missed_section_or_citation;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown,3
